uid,text
1782bea75c7d-1,Page 111
1782bea75c7d-2,Make it shorter.
1782bea75c7d-3,"One day, Akbar drew a line on the floor and ordered."
1782bea75c7d-4,Make this line shorter.
1782bea75c7d-5,but don't rub out any part of it.
1782bea75c7d-6,No one knew what to do.
1782bea75c7d-7,Each minister looked at the line and was puzzled.
1782bea75c7d-8,No one could think of any way to make it longer.
1782bea75c7d-9,No one could think of how it could be made shorter without erasing it.
1782bea75c7d-10,"Birbal started smiling. When it was his turn, he went near the line."
1782bea75c7d-11,Discuss with your partner what Birbal would do.
1782bea75c7d-12,Now read further.
1782bea75c7d-13,Birbal drew a longer line.
1782bea75c7d-14,under the first one.
1782bea75c7d-15,He didn't touch the first line. Everyone in the court.
1782bea75c7d-16,saw what he drew and said.
1782bea75c7d-17,"That's true, the first line is shorter now."
1782bea75c7d-18,New words Order
1782bea75c7d-19,Rub.
1782bea75c7d-20,Puzzle
1782bea75c7d-21,Erase
1782bea75c7d-22,court
1782bea75c7d-23,Page number 113
1782bea75c7d-24,Reading is fun.
1782bea75c7d-25,What did Akbar order one day?
1782bea75c7d-26,What did each minister do?
1782bea75c7d-27,How did Birbal make the line shorter?
1782bea75c7d-28,Say aloud
1782bea75c7d-29,which letters cannot be heard when we say these words.
1782bea75c7d-30,Short. Shorter. Bright.
1782bea75c7d-31,Brighter Dark
1782bea75c7d-32,Darker. Light.
1782bea75c7d-33,Lighter
1782bea75c7d-34,Big! Bigger!
1782bea75c7d-35,Fast. Faster
1782bea75c7d-36,Page number 114
1782bea75c7d-37,Team Time!
1782bea75c7d-38,Discuss with your partner and draw pictures to show the following. 1.
1782bea75c7d-39,The ball on the left side is bigger than the one on the right. And here you can draw on the left.
1782bea75c7d-40,a ball bigger than the ball on the right. 2
1782bea75c7d-41,Rita is shorter than Radha.
1782bea75c7d-42,And now here are two spaces provided to draw Rita and Radha. Here you can draw Rita shorter and Radha bigger than Rita.
1782bea75c7d-43,3. Raghu's basket is heavier than Ratan's.
1782bea75c7d-45,And now you can draw Raghu and Ratton's basket.
1782bea75c7d-46,Make sure that you draw Rughu's basket heavier than Rathan's. 4
1782bea75c7d-47,Rajat is taller than Raj.
1782bea75c7d-48,"Here are two spaces provided to draw, Rajat and Raj."
1782bea75c7d-50,Try to draw Rajat's taller than Raj.
ee235596b76f-1,Page 115
ee235596b76f-2,Picture Story
ee235596b76f-3,The mouse and the pencil.
ee235596b76f-4,"One day, a little mouse was looking for something to eat."
ee235596b76f-5,He found a pencil.
ee235596b76f-6,I'm going to bite you. Said the mouse
ee235596b76f-7,Oh you are hurting me! Said the pencil
ee235596b76f-8,Let me draw you one last picture and then you can do what you like.
ee235596b76f-9,very well said the mouse
ee235596b76f-10,The pencil drew a big circle.
ee235596b76f-11,Is that a cheese? Asked the mouse.
ee235596b76f-12,We will call it a cheese!
ee235596b76f-13,said the pencil and it drew three little circles inside the big one.
ee235596b76f-14,That's an apple! squeaked the mouse!
ee235596b76f-15,Let's call it an apple. said the pencil.
ee235596b76f-16,and began drawing some funny curved things near the second circle.
ee235596b76f-17,Why those are cucumbers? Set the mouse and leaking his lips.
ee235596b76f-18,I wish you'd hurry. I simply can't wait to...
ee235596b76f-19,to get my teeth into them.
ee235596b76f-20,The pencil drew two little triangles on the top circle.
ee235596b76f-21,A-a-a-a-a-a-a-a-a-a-a-a. Squate the mouse.
ee235596b76f-22,Now you have made it like a cat and please don't go please
ee235596b76f-23,Page 117
ee235596b76f-24,But the pencil went on till it had drawn long whiskers and mouth on the tops circel
ee235596b76f-26,And the mouse cried out in terror.
ee235596b76f-27,"Hey! It's a real cat! Help! Help! Help! Now, see!"
ee235596b76f-28,If you can draw a cat that looks real enough to frighten away the mice.
ee235596b76f-31,Describe the cat in your own words.
ee235596b76f-32,Here is the space provided.
ee235596b76f-34,Let's make!
ee235596b76f-35,A pencil cap
ee235596b76f-36,Material required.
ee235596b76f-37,2x2 square piece of chart paper
ee235596b76f-38,Red and black sketch pens and glue.
ee235596b76f-39,method
ee235596b76f-40,Color the square chart paper with the color of your choice.
ee235596b76f-41,Hold any one corner of the square between your thumb and pointer finger and roll the chart paper with your other hand in such a way that it takes the shape of a cone.
ee235596b76f-42,Apply glue to the outer edge and stick it.
ee235596b76f-43,Your pencil cap is ready.
ee235596b76f-44,Put it on the end of your pencil and see how nice it looks.
ee235596b76f-45,Let's practice!
ee235596b76f-46,Here is a sentence given below. With some dots.
ee235596b76f-47,Connect the dots to complete the sentence. A cat?
ee235596b76f-48,on the mat.
df4bb619957f-1,Page 64
df4bb619957f-2,Unit 6
df4bb619957f-3,If I were an apple.
df4bb619957f-4,"Learn, recite and enjoy this poem."
df4bb619957f-5,If I were an apple.
df4bb619957f-6,and grew on a tree.
df4bb619957f-7,I think I would drop down on a nice boy like me.
df4bb619957f-9,I wouldn't stay there giving nobody joy.
df4bb619957f-10,"I'd fall down at once and say, eat me my boy."
df4bb619957f-11,New words learnt from the poem.
df4bb619957f-12,Apple Boy
df4bb619957f-13,Eat
df4bb619957f-14,drop
df4bb619957f-15,Joy
df4bb619957f-16,Now let's read.
df4bb619957f-17,I like to eat an apple.
df4bb619957f-18,We clap our hands with joy.
df4bb619957f-19,Page 65
df4bb619957f-20,Reading is fun.
df4bb619957f-21,Where is the apple?
df4bb619957f-22,Where is the boy?
df4bb619957f-23,How can the boy get the apple?
df4bb619957f-24,Let's talk!
df4bb619957f-25,Do you like apples!
df4bb619957f-26,Have you ever climbed a fruit tree?
df4bb619957f-27,Let's share!
df4bb619957f-28,Fill in the blanks.
df4bb619957f-29,"If I were a bird, I would."
df4bb619957f-30,Dash!
df4bb619957f-31,Fly?
df4bb619957f-32,or cry.
df4bb619957f-33,If I were a Bee
df4bb619957f-34,I would dash. Buzz
df4bb619957f-35,or chirp.
df4bb619957f-36,Let's read and write.
df4bb619957f-37,S
df4bb619957f-38,T U
df4bb619957f-39,V
df4bb619957f-40,Now connect the dots to write the letters S-T-U-V.
df4bb619957f-41,again and again.
df4bb619957f-43,Page 66.
df4bb619957f-44,Say aloud.
df4bb619957f-45,Apple
df4bb619957f-46,Drew
df4bb619957f-47,Dew
df4bb619957f-48,ball people
df4bb619957f-49,Grew
df4bb619957f-51,few
df4bb619957f-52,Call
df4bb619957f-53,Ripple
df4bb619957f-54,Threw
df4bb619957f-55,Mew
df4bb619957f-56,Fall
df4bb619957f-57,Word fun!
df4bb619957f-58,Fill in the letters to complete the crossword puzzle.
df4bb619957f-59,Use the pictures as clues to find the fruit.
df4bb619957f-60,Here in the picture.
df4bb619957f-61,You can see a puzzle with pictures of fruits and some rows and columns with letters in it.
df4bb619957f-62,The first one
df4bb619957f-63,is a picture of an orange.
df4bb619957f-64,You have to fill the spelling of an orange
df4bb619957f-65,in the first column.
df4bb619957f-66,"Similarly, you have to do with the second one."
df4bb619957f-67,which is grapefruit. Write the spelling of grapes in the second row.
df4bb619957f-68,Third one is mango.
df4bb619957f-69,"In the column, with number 3 on it, you have to write the spelling of a mango."
df4bb619957f-70,The fourth one is a banana.
df4bb619957f-71,The fifth one is Apple.
df4bb619957f-72,and 6th one is pear.
df4bb619957f-74,Which is your favorite fruit?
df4bb619957f-75,See why you like it. First
df4bb619957f-76,in your own language and then in English.
